2021-09-17 17:37:03,060 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:37:56,934 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:39:15,840 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:39:18,566 INFO epoch = 2, iteration = 0, loss_policy = 1.7148373126983643, loss_value = 0.7515928745269775, loss = 2.466430187225342, accuracy = 0.0, 1.0
2021-09-17 17:39:18,613 INFO epoch = 2, iteration = 0, loss_policy = 4.4342732429504395, loss_value = 0.6924300193786621, loss = 5.126703262329102, accuracy = 0.0, 1.0
2021-09-17 17:39:18,677 INFO epoch = 2, iteration = 0, loss_policy = 4.191809177398682, loss_value = 0.6901574730873108, loss = 4.881966590881348, accuracy = 0.0, 1.0
2021-09-17 17:39:18,731 INFO epoch = 2, iteration = 0, loss_policy = 0.6639007925987244, loss_value = 0.7487407326698303, loss = 1.4126415252685547, accuracy = 0.0, 0.0
2021-09-17 17:39:18,795 INFO epoch = 2, iteration = 0, loss_policy = 0.08991401642560959, loss_value = 0.6939512491226196, loss = 0.7838652729988098, accuracy = 0.0, 0.0
2021-09-17 17:39:18,846 INFO epoch = 2, iteration = 0, loss_policy = 0.003604583442211151, loss_value = 0.7641021013259888, loss = 0.7677066922187805, accuracy = 0.0, 0.0
2021-09-17 17:39:18,896 INFO epoch = 2, iteration = 0, loss_policy = 3.5845694541931152, loss_value = 0.775998592376709, loss = 4.360568046569824, accuracy = 0.0, 1.0
2021-09-17 17:39:18,949 INFO epoch = 2, iteration = 0, loss_policy = 2.07460618019104, loss_value = 0.7066890001296997, loss = 2.7812952995300293, accuracy = 0.0, 1.0
2021-09-17 17:39:18,998 INFO epoch = 2, iteration = 0, loss_policy = 4.67054557800293, loss_value = 0.7359375357627869, loss = 5.406483173370361, accuracy = 0.0, 0.0
2021-09-17 17:39:19,044 INFO epoch = 2, iteration = 0, loss_policy = 1.4291564226150513, loss_value = 0.674975574016571, loss = 2.1041319370269775, accuracy = 0.0, 1.0
2021-09-17 17:39:19,101 INFO epoch = 2, iteration = 0, loss_policy = 3.244236707687378, loss_value = 0.686902642250061, loss = 3.9311394691467285, accuracy = 0.0, 0.0
2021-09-17 17:39:19,156 INFO epoch = 2, iteration = 0, loss_policy = 0.0016279076226055622, loss_value = 0.6502037644386292, loss = 0.6518316864967346, accuracy = 0.0, 0.0
2021-09-17 17:39:19,201 INFO epoch = 2, iteration = 0, loss_policy = 0.08229436725378036, loss_value = 0.7264890670776367, loss = 0.8087834119796753, accuracy = 1.0, 0.0
2021-09-17 17:39:19,260 INFO epoch = 2, iteration = 0, loss_policy = 10.049080848693848, loss_value = 0.7035992741584778, loss = 10.752679824829102, accuracy = 1.0, 0.0
2021-09-17 17:39:19,323 INFO epoch = 2, iteration = 0, loss_policy = 0.3802891969680786, loss_value = 0.6068778038024902, loss = 0.9871670007705688, accuracy = 0.0, 0.0
2021-09-17 17:39:19,372 INFO epoch = 2, iteration = 0, loss_policy = 0.14070354402065277, loss_value = 0.8170413374900818, loss = 0.9577448964118958, accuracy = 1.0, 0.0
2021-09-17 17:39:19,419 INFO epoch = 2, iteration = 0, loss_policy = 5.675206661224365, loss_value = 0.755184531211853, loss = 6.430391311645508, accuracy = 1.0, 0.0
2021-09-17 17:39:19,480 INFO epoch = 2, iteration = 0, loss_policy = 3.2822048664093018, loss_value = 0.7198276519775391, loss = 4.002032279968262, accuracy = 1.0, 1.0
2021-09-17 17:39:19,546 INFO epoch = 2, iteration = 0, loss_policy = 4.278148174285889, loss_value = 0.7166167497634888, loss = 4.994764804840088, accuracy = 0.0, 0.0
2021-09-17 17:39:19,703 INFO epoch = 2, iteration = 0, loss_policy = 0.5567398071289062, loss_value = 0.7082811594009399, loss = 1.2650209665298462, accuracy = 0.0, 1.0
2021-09-17 17:39:19,747 INFO epoch = 2, iteration = 0, loss_policy = 5.740346908569336, loss_value = 0.8303167223930359, loss = 6.5706634521484375, accuracy = 0.0, 0.0
2021-09-17 17:39:19,801 INFO epoch = 2, iteration = 0, loss_policy = 0.060310982167720795, loss_value = 0.6532159447669983, loss = 0.7135269045829773, accuracy = 1.0, 0.0
2021-09-17 17:39:19,851 INFO epoch = 2, iteration = 0, loss_policy = 9.193364143371582, loss_value = 0.6614572405815125, loss = 9.85482120513916, accuracy = 0.0, 1.0
2021-09-17 17:39:19,889 INFO epoch = 2, iteration = 0, loss_policy = 0.13757416605949402, loss_value = 0.8630996346473694, loss = 1.000673770904541, accuracy = 0.0, 0.0
2021-09-17 17:39:19,934 INFO epoch = 2, iteration = 0, loss_policy = 13.58228874206543, loss_value = 0.6852630376815796, loss = 14.26755142211914, accuracy = 0.0, 0.0
2021-09-17 17:39:19,986 INFO epoch = 2, iteration = 0, loss_policy = 3.6715986728668213, loss_value = 0.7575801014900208, loss = 4.429178714752197, accuracy = 1.0, 1.0
2021-09-17 17:39:20,041 INFO epoch = 2, iteration = 0, loss_policy = 0.9160130023956299, loss_value = 0.621805727481842, loss = 1.5378186702728271, accuracy = 1.0, 0.0
2021-09-17 17:39:20,093 INFO epoch = 2, iteration = 0, loss_policy = 3.5687150955200195, loss_value = 0.6276676654815674, loss = 4.196382522583008, accuracy = 0.0, 1.0
